"","Gene","log2FC","pVal","qVal","Direction"
"88","NEFM",-2.08088696018049e-18,0.999999998602776,1,"DOWN"
"89","PRMT5",-0.0710424106449454,0.203995955187264,0.459558455485457,"DOWN"
"90","ACADL",0.00583314472740197,0.719373718845659,1,"UP"
"91","SLC6A17",0.00987121646383613,0.50545994135325,0.858797046639755,"UP"
"92","AGPAT3",0.210666338121312,0.00123473786902832,0.0324938289618061,"UP"
"93","CMPK1",-0.0499149174379435,0.359416717090339,0.671005913197643,"DOWN"
"94","FAHD2A;FAHD2",-0.120867441834459,0.112418022904069,0.33136750904331,"DOWN"
"95","SLC17A6",5.46269383587295e-18,0.999999996807261,1,"UP"
"96","AJM1",0.125246956489074,0.0289767140622738,0.174918220504049,"UP"
"97","SH3GL3",-3.49050927548055e-16,0.999999945463625,1,"DOWN"
"98","STT3B",0,1,1,"DOWN"
"99","GAK",-1.02173780991442e-16,0.999999969797762,1,"DOWN"
"100","PCK2",1.69388149427383e-14,0.999999682089527,1,"UP"
"101","EML4",-0.116348431507483,0.399024992972888,0.723154791545477,"DOWN"
"102","LRP1",0.0450142465176663,0.15386449513504,0.396829087546022,"UP"
"103","AK4",0.109279213331339,0.0246767303896928,0.163817862986075,"UP"
"104","AKAP5",0.111958349847096,0.014336654632243,0.128984378500879,"UP"
"105","LLGL1",-0.00283479567068277,0.807897081807884,1,"DOWN"
"106","LRRC40",-0.0304257352511042,0.433734691153426,0.764906107485259,"DOWN"
"107","ALCAM",0.159657031302829,0.00557408344604347,0.0774360415984667,"UP"
"108","PDIA4",-0.0875182666320493,0.269294676583705,0.550238726343346,"DOWN"
"109","AQP4",0.0719603222191553,0.0841847222736397,0.286409967495192,"UP"
"110","CPEB3;CPEB2",0,1,1,"DOWN"
"111","ALG2",0.0855655047636794,0.0137544374060716,0.12655868704158,"UP"
"112","ANK3",0.118189827209724,0.02614944066509,0.167285586557258,"UP"
"113","CPNE2",0.115072611485625,0.136971941189221,0.372174958130635,"UP"
"114","ADD2",-0.234078730545573,0.000114526072375794,0.00772778307411908,"DOWN"
"115","GOLGA3",0,1,1,"DOWN"
"116","RDH12",0.0632609571724446,0.193865717744043,0.446316364002127,"UP"
"117","ANXA7",0.11178216185628,6.527900315709e-06,0.00123333796631462,"UP"
"118","MATK",7.80903507898127e-16,0.999999911369437,1,"UP"
"119","ERI3",-8.01176413563609e-20,0.999999999821692,1,"DOWN"
"120","APOO",0.206915441210069,0.0107305810943334,0.112631358597559,"UP"
"121","SYNCRIP",2.60930183284385e-15,0.999999861631763,1,"UP"
"122","ARHGAP21",0.0733197760528269,0.047447033915029,0.222623996879457,"UP"
"123","ARHGAP32",0.0660310491272307,0.0193062556129466,0.147748639145714,"UP"
"124","KCTD12",3.62008092643024e-18,0.999999996808914,1,"UP"
"125","SYT2",0.0298486509313539,0.630483802961731,1,"UP"
"126","MAT2A",-0.115233082372345,0.0791840138888134,0.278421210125183,"DOWN"
"127","CDIPT",0.106789617021776,0.0883095241523527,0.292846579396472,"UP"
"128","CSNK1G1",0,1,1,"DOWN"
"129","FXYD7",0,1,1,"DOWN"
"130","ARL6IP1",0.0525755039068525,0.222618890604287,0.484936153706803,"UP"
"131","TEX2",0.0776532432356136,0.21138222748873,0.469480589892681,"UP"
"132","KCNC3",0.0912919917339503,0.104377905842508,0.317730381479772,"UP"
"133","GPS1",-0.0280003723818242,0.16117159976246,0.40607315406669,"DOWN"
"134","PI4KA",0.0185397787411902,0.262278026873795,0.540578856843881,"UP"
"135","GRM4",0.0852956458659327,0.186808352577459,0.438620440103165,"UP"
"136","RPL9-PS6;RPL9",2.69004318879924e-18,0.999999997017486,1,"UP"
"137","PRMT1",5.99064307273366e-20,0.999999999914424,1,"UP"
"138","RPL18",4.628875782417e-11,0.999988858871119,1,"UP"
"139","AFDN",-0.0590202737372566,0.0103327574587587,0.111040067141359,"DOWN"
"140","APBB1",-0.038415353831225,0.268362919911782,0.549523493518779,"DOWN"
"141","ARMC1",0.0980547791372362,0.0126012997159734,0.120227954927321,"UP"
"142","ATL1",0.158044642809554,0.0123789227683785,0.119990233361226,"UP"
"143","PTPRE",0.0126047195146066,0.600862139749059,0.991177708992336,"UP"
"144","PLPBP",-0.0199210200306704,0.45275475090385,0.791064712738292,"DOWN"
"145","SLC17A7",0.0709243682937138,0.110656744122019,0.327878293713566,"UP"
"146","BPNT1",-1.82504982777753e-19,0.999999999382282,1,"DOWN"
"147","STUM",0.0139390607704561,0.701336295310865,1,"UP"
"148","BAX",2.89791047669957e-21,0.999999999977472,1,"UP"
"149","DDHD2",0.00991522471627769,0.686932881538282,1,"UP"
"150","ARFIP2",-0.100530036148068,0.0867238037164228,0.290858295541233,"DOWN"
"151","CYLD",0,1,1,"DOWN"
"152","RNH1",-0.0723395739207267,0.172335818971034,0.416979029815207,"DOWN"
"153","CHID1",0,1,1,"DOWN"
